anio,cuenta_corriente_pib
1990,3.7
1991,-0.3
1992,-2.4
1993,-3.4
1994,-4.3
1995,-2.0
1996,-2.5
1997,-4.2
1998,-4.8
1999,-4.2
2000,-3.2
2001,-1.4
2002,8.6
2003,6.3
2004,2.1
2005,2.9
2006,3.6
2007,2.8
2008,2.1
2009,2.5
2010,-0.4
2011,-0.8
2012,-0.2
2013,-2.1
2014,-1.6
2015,-2.7
2016,-2.7
2017,-4.8
2018,-5.2
2019,-0.8
2020,0.9
2021,1.4
2022,-0.6
2023,-3.5
2024,0.9
