anio,reservas_usd_bn
1990,6.2
1991,8.4
1992,12.3
1993,14.8
1994,15.7
1995,16.1
1996,19.7
1997,22.4
1998,24.8
1999,26.3
2000,25.1
2001,14.6
2002,10.5
2003,14.1
2004,19.6
2005,28.1
2006,32.0
2007,46.2
2008,46.4
2009,48.0
2010,52.2
2011,46.4
2012,43.3
2013,30.6
2014,31.4
2015,25.6
2016,38.8
2017,55.1
2018,66.0
2019,44.8
2020,39.4
2021,39.7
2022,44.6
2023,23.1
2024,32.0
