pais_iso,pais,indicador_code,indicador,anio,valor
ARG,Argentina,NE.EXP.GNFS.ZS,Exportaciones (% PIB),2021,18.07
ARG,Argentina,NE.EXP.GNFS.ZS,Exportaciones (% PIB),2020,16.61
ARG,Argentina,NE.EXP.GNFS.ZS,Exportaciones (% PIB),2019,17.92
ARG,Argentina,NE.EXP.GNFS.ZS,Exportaciones (% PIB),2018,14.44
ARG,Argentina,NE.EXP.GNFS.ZS,Exportaciones (% PIB),2017,11.32
ARG,Argentina,NE.EXP.GNFS.ZS,Exportaciones (% PIB),2016,12.53
ARG,Argentina,NE.EXP.GNFS.ZS,Exportaciones (% PIB),2015,10.71
ARG,Argentina,NE.EXP.GNFS.ZS,Exportaciones (% PIB),2014,14.41
ARG,Argentina,NE.EXP.GNFS.ZS,Exportaciones (% PIB),2013,14.62
ARG,Argentina,NE.EXP.GNFS.ZS,Exportaciones (% PIB),2012,16.24
ARG,Argentina,NE.EXP.GNFS.ZS,Exportaciones (% PIB),2011,18.45
ARG,Argentina,NE.EXP.GNFS.ZS,Exportaciones (% PIB),2010,18.93
ARG,Argentina,NE.EXP.GNFS.ZS,Exportaciones (% PIB),2009,19.56
ARG,Argentina,NE.EXP.GNFS.ZS,Exportaciones (% PIB),2008,22.06
ARG,Argentina,NE.EXP.GNFS.ZS,Exportaciones (% PIB),2007,22.66
ARG,Argentina,NE.EXP.GNFS.ZS,Exportaciones (% PIB),2006,23.03
ARG,Argentina,NE.EXP.GNFS.ZS,Exportaciones (% PIB),2005,23.25
ARG,Argentina,NE.EXP.GNFS.ZS,Exportaciones (% PIB),2004,23.85
ARG,Argentina,NE.EXP.GNFS.ZS,Exportaciones (% PIB),2003,25.93
ARG,Argentina,NE.EXP.GNFS.ZS,Exportaciones (% PIB),2002,28.38
ARG,Argentina,NE.EXP.GNFS.ZS,Exportaciones (% PIB),2001,11.58
ARG,Argentina,NE.EXP.GNFS.ZS,Exportaciones (% PIB),2000,10.99
ARG,Argentina,NE.EXP.GNFS.ZS,Exportaciones (% PIB),1999,9.83
ARG,Argentina,NE.EXP.GNFS.ZS,Exportaciones (% PIB),1998,10.42
ARG,Argentina,NE.EXP.GNFS.ZS,Exportaciones (% PIB),1997,10.56
ARG,Argentina,NE.EXP.GNFS.ZS,Exportaciones (% PIB),1996,10.43
ARG,Argentina,NE.EXP.GNFS.ZS,Exportaciones (% PIB),1995,9.68
ARG,Argentina,NE.EXP.GNFS.ZS,Exportaciones (% PIB),1994,7.53
ARG,Argentina,NE.EXP.GNFS.ZS,Exportaciones (% PIB),1993,6.91
ARG,Argentina,NE.EXP.GNFS.ZS,Exportaciones (% PIB),1992,6.6
ARG,Argentina,NE.EXP.GNFS.ZS,Exportaciones (% PIB),1991,7.68
ARG,Argentina,NE.EXP.GNFS.ZS,Exportaciones (% PIB),1990,10.36
ARG,Argentina,NE.EXP.GNFS.ZS,Exportaciones (% PIB),1989,13.06
ARG,Argentina,NE.EXP.GNFS.ZS,Exportaciones (% PIB),1988,9.53
ARG,Argentina,NE.EXP.GNFS.ZS,Exportaciones (% PIB),1987,7.87
ARG,Argentina,NE.EXP.GNFS.ZS,Exportaciones (% PIB),1986,8.16
ARG,Argentina,NE.EXP.GNFS.ZS,Exportaciones (% PIB),1985,11.74
ARG,Argentina,NE.EXP.GNFS.ZS,Exportaciones (% PIB),1984,7.59
